这是第1篇评论     2个人物
诸葛亮 4
荀彧 5
曹操 8
刘备 2
朱棣 1
曹丕 2
周公 1
司马炎 1
高贵乡公 5
司马懿 1
司马昭 3
山涛 1
嵇康 4
曹髦 1
贾充 2
晋恭帝 1
这是第86篇评论     11个人物
吕思勉 1
韩当 1
曹叡 1
于吉 1
周宣 1
刘禅 1
曹丕 1
来敏 2
尹默 1
黄皓 1
孟光 1
这是第87篇评论     53个人物
诸葛亮 9
徐庶 2
刘备 9
曹操 20
周瑜 2
赵云 1
陈群 1
杜恕 1
蒋济 2
孔明 4
管仲 1
鲁肃 4
吕蒙 5
陆逊 1
蒋琬费祎 1
羊祜 1
杜预 1
于禁 1
张辽 1
徐晃 1
曹丕 10
曹彰 3
曹植 6
太祖 1
杨修 1
孙权 5
田畴 1
崔琰 1
钟会 1
陆凯 1
王基 1
关羽 4
李典 1
姜维 2
孙瑜 1
虞翻 6
孙策 4
王粲 1
曹衮 1
曹冲 3
司马懿 3
刘表 2
孙登 1
孙和 2
鲁王 1
阿斗 1
诸葛恪 2
王凌 2
诸葛 1
毋丘俭 2
文钦 1
齐王 1
司马师 1
这是第88篇评论     11个人物
刘备 6
诸葛亮 8
曹操 5
陈寿 1
孔明 2
孙权 4
诸葛瞻 1
孙坚 2
孙策 2
刘琮 1
曹丕 1
这是第89篇评论     27个人物
曹操 9
曹仁 3
程昱 3
曹真 2
曹休 2
夏侯尚 2
桓阶 3
陈群 4
张郃 4
徐晃 3
张辽 3
曹洪 2
夏侯渊 2
朱灵 2
文聘 2
臧霸 2
李典 2
庞德 3
典韦 3
荀攸 5
司马懿 5
郭嘉 6
太祖 1
钟繇 2
华歆王朗 1
荀彧 2
贾诩 2
这是第90篇评论     12个人物
王粲 1
裴松之 1
仲颖 1
张奂 7
张辽 1
鲍信 1
范晔 1
陈留王 11
王允 1
朱氏 1
废帝 1
董太后 1
这是第91篇评论     10个人物
陈寿 2
司马懿 1
高贵乡公 1
司马师 1
司马炎 1
曹操 2
诸葛亮 1
孙坚 1
刘表 1
王肃 1
这是第92篇评论     4个人物
曹操 1
陈思王 1
诸葛亮 2
韦曜 1
这是第93篇评论     22个人物
刘备 92
曹操 28
关羽 5
张飞 3
赵云 3
孔融 4
诸葛亮 12
公孙瓒 2
陶谦 2
曹公 6
刘表 3
孔明 3
庞统 3
徐庶 1
诸葛 1
孙权 1
周瑜 1
张松 3
法正 1
黄忠 1
马超 1
魏延 1
